#Batch costTraining precTraining
493 0.3294311 0.8531947
494 0.88251275 0.8531883
495 0.23528463 0.8534343
496 0.44348195 0.85361224
497 0.54752195 0.85372233
498 0.49976814 0.85389894
499 0.6974384 0.85397464
500 0.53159595 0.8541167
501 0.4703891 0.93333334
502 0.38210264 0.93333334
503 0.5233184 0.93333334
504 0.49595538 0.93125
505 0.40764293 0.93333334
506 0.4038105 0.9375
507 0.27137974 0.94166666
508 0.35890478 0.9447917
509 0.27722114 0.9462963
510 0.4086307 0.94416666
511 0.5244853 0.94242424
512 0.34929433 0.94305557
513 0.5246986 0.9403846
514 0.5638035 0.9380952
515 0.42599493 0.9394444
516 0.4411584 0.9390625
517 0.40004814 0.9397059
518 0.6198904 0.93703705
519 0.823985 0.93333334
520 0.3818735 0.93375
521 0.46509215 0.934127
522 0.5571222 0.93295455
523 0.33476296 0.9336957
524 0.5071587 0.93298614
525 0.6249849 0.932
526 0.46091464 0.9326923
527 0.37330234 0.9330247
528 0.45326868 0.93303573
529 0.35610002 0.9341954
530 0.35378936 0.93472224
531 0.36838523 0.9354839
532 0.47343466 0.9351562
533 0.39393073 0.93560606
534 0.55925936 0.9352941
535 0.37872657 0.9357143
536 0.5176734 0.9351852
537 0.47834963 0.9346847
538 0.5171099 0.9346491
539 0.34875858 0.93504274
540 0.48852777 0.9347917
541 0.511083 0.93414634
542 0.37188673 0.9345238
543 0.4072445 0.93430233
544 0.51382184 0.9337121
545 0.43645224 0.9335185
546 0.32400942 0.93405795
547 0.6056873 0.93351066
548 0.35841087 0.93385416
549 0.4054509 0.93435377
550 0.59146553 0.934
551 0.63827133 0.9338235
552 0.49302417 0.93365383
553 0.44349018 0.9336478
554 0.42310715 0.9337963
555 0.41169617 0.9340909
556 0.5029949 0.9342262
557 0.4053244 0.9345029
558 0.3912115 0.9347701
559 0.43215528 0.934887
560 0.336783 0.93527776
561 0.38986984 0.93524593
562 0.45650715 0.93521506
563 0.49239036 0.93478835
564 0.48056462 0.93476564
565 0.46503013 0.9347436
566 0.55835444 0.9344697
567 0.38401923 0.9347015
568 0.5881469 0.93419117
569 0.4384719 0.93405795
570 0.65392137 0.9336905
571 0.427277 0.9336854
572 0.4345301 0.93356484
573 0.34137833 0.93401825
574 0.4433054 0.9338964
575 0.49609935 0.9338889
576 0.47321346 0.9338816
577 0.36845872 0.93376625
578 0.49830544 0.9337607
579 0.42222583 0.9340717
580 0.6123887 0.93375
581 0.60056174 0.93333334
582 0.2857205 0.9335366
583 0.5884106 0.9334337
584 0.37216416 0.93363094
585 0.27197167 0.9341177
586 0.3044968 0.93439925
587 0.3873645 0.93448275
588 0.49433663 0.9341856
589 0.5362353 0.93398875
590 0.55751485 0.9337037
591 0.467266 0.9336996
592 0.26572105 0.93414855
593 0.47020203 0.9341398
594 0.5118516 0.9340426
595 0.46679133 0.93403506
596 0.35072708 0.9341146
597 0.36207613 0.93436426
598 0.3075779 0.9346939
599 0.5251116 0.9345118
600 0.24173553 0.9349167
601 0.37826887 0.93514854
602 0.48351163 0.9348856
603 0.5300899 0.93454695
604 0.3976868 0.9346154
605 0.44615427 0.93468255
606 0.36709085 0.934827
607 0.21594495 0.93512464
608 0.5303182 0.93487656
609 0.3438228 0.93493885
610 0.5479005 0.934697
611 0.46590522 0.9346096
612 0.68446445 0.93415177
613 0.6458753 0.9338496
614 0.3646594 0.93399125
615 0.65709764 0.9336232
616 0.56997466 0.93340516
617 0.30622527 0.93361825
618 0.51860565 0.9336158
619 0.49811557 0.9334734
620 0.33305645 0.9336111
