#Batch costTraining precTraining costValidation precValidation
44000 0.07157123657191793 0.9915666580200195 0.15125207958053796 0.9797999858856201
44500 0.07488314802770814 0.9914666414260864 0.15539593160301446 0.9797999858856201
45000 0.07154206618359313 0.9916666746139526 0.1538200042616576 0.9793999791145325
45500 0.06821518730806808 0.9919333457946777 0.1491097808836028 0.9797999858856201
46000 0.06897123268873741 0.9921333193778992 0.15086052538864314 0.9796000123023987
46500 0.06877450025221334 0.9921500086784363 0.15293246682332828 0.9789999723434448
47000 0.06719360990257313 0.9923999905586243 0.1504168661572039 0.9800000190734863
47500 0.06727440857406085 0.9922166466712952 0.15149615443814546 0.9793000221252441
48000 0.06518300546966493 0.9925500154495239 0.15009851767718793 0.9803000092506409
48500 0.06616506409893433 0.9924333095550537 0.15053957521477715 0.9797000288963318
49000 0.06383835210649608 0.9926999807357788 0.15049841882949694 0.9793999791145325
49500 0.06232218938705822 0.9927999973297119 0.14723982606893404 0.980400025844574
50000 0.06111153478639511 0.9928500056266785 0.14864583506728524 0.9803000092506409
50500 0.06344461013491576 0.9927166700363159 0.14980855759251863 0.9797000288963318
51000 0.0615741134539557 0.9931166768074036 0.1503932986074127 0.9800000190734863
51500 0.05926196837527677 0.9931833148002625 0.14673087647398933 0.980400025844574
52000 0.05932974018150319 0.9931833148002625 0.14814281513364985 0.9801999926567078
52500 0.0586453295178401 0.993233323097229 0.14765898977029138 0.9803000092506409
53000 0.060484018840113035 0.993066668510437 0.14956004808470608 0.9797000288963318
53500 0.05678918295234131 0.9934333562850952 0.1461214721285738 0.9807999730110168
54000 0.05587084005277914 0.9936666488647461 0.14577834442975 0.9803000092506409
54500 0.05641714013827344 0.9936833381652832 0.1474201856658794 0.9800999760627747
55000 0.05486603094468204 0.9937666654586792 0.14577078635822982 0.980400025844574
55500 0.05570648823250085 0.9938666820526123 0.14636484487783163 0.9807999730110168
56000 0.05433519618655555 0.9937000274658203 0.1451406026698649 0.9801999926567078
56500 0.055049089342510946 0.9938333630561829 0.14593108379784972 0.9807999730110168
57000 0.052238901682011785 0.9939833283424377 0.14307938691396266 0.9807999730110168
57500 0.05205368999230365 0.9940666556358337 0.14583187447572127 0.9804999828338623
58000 0.0509087474739179 0.994183361530304 0.1446340794084128 0.9807999730110168
58500 0.05183545784341792 0.9942333102226257 0.1443852289043367 0.9807000160217285
59000 0.05036728076846339 0.9943166375160217 0.1449156060972251 0.9811000227928162
59500 0.05002327418215573 0.9943833351135254 0.14421196889597923 0.9811999797821045
60000 0.04955589291076176 0.9944833517074585 0.14376846498055385 0.9807999730110168
60500 0.049406519558249665 0.9944000244140625 0.14436334896553307 0.9805999994277954
61000 0.0479330508694984 0.994616687297821 0.14343702681967987 0.9818000197410583
61500 0.048118494623573496 0.9945833086967468 0.14436393270893022 0.9807999730110168
62000 0.04763512024700176 0.994700014591217 0.1429099941640161 0.9807999730110168
62500 0.04734905191205131 0.9946500062942505 0.1436488038391806 0.9810000061988831
63000 0.046017544659894584 0.9947999715805054 0.1431451617489569 0.9807000160217285
63500 0.04530479456743536 0.994949996471405 0.1419445698338328 0.9811999797821045
64000 0.04505994262883129 0.9950166940689087 0.14176102746883407 0.9810000061988831
64500 0.044662318997224795 0.995033323764801 0.1422691504085902 0.9815999865531921
65000 0.044495760772625605 0.994949996471405 0.14151116886679083 0.9807000160217285
65500 0.043891814306611196 0.9950000047683716 0.1420605487117544 0.9812999963760376
66000 0.04378192090385904 0.9951500296592712 0.14238814208088443 0.9807000160217285
66500 0.04371706320995775 0.9950833320617676 0.14318815719336273 0.9811000227928162
67000 0.04250807282010404 0.9951333403587341 0.14185808107438497 0.98089998960495
67500 0.044179694585626324 0.9951333403587341 0.14280288795749657 0.9815000295639038
68000 0.04204627451937025 0.9952666759490967 0.14040323287977372 0.9815999865531921
68500 0.04138740302328952 0.9954000115394592 0.14062898889961653 0.9811999797821045
69000 0.04161638035215438 0.9953166842460632 0.1429161234884057 0.9811000227928162
69500 0.041479927617854746 0.9953666925430298 0.14109310756931082 0.98089998960495
70000 0.04053742041879644 0.9954333305358887 0.1410309642558219 0.9815000295639038
70500 0.040014674545001856 0.9954666495323181 0.14144415592914447 0.9810000061988831
71000 0.03975716616474092 0.9955166578292847 0.14145238938517868 0.9810000061988831
71500 0.039555042699708914 0.9955333471298218 0.1414258764686063 0.9814000129699707
72000 0.03874435171905594 0.9955499768257141 0.13985854526921176 0.9815000295639038
72500 0.039866553609383605 0.9955999851226807 0.14290771836428903 0.98089998960495
73000 0.03820410029211392 0.9955666661262512 0.140353159135906 0.9812999963760376
