#Batch costTraining precTraining
513 0.06886701 0.96602565
514 0.042189606 0.96666664
515 0.051064324 0.9672222
516 0.011269132 0.96875
517 0.047393043 0.96862745
518 0.007430299 0.97037035
519 0.02946055 0.97105265
520 0.032158054 0.97125
521 0.047136903 0.9710317
522 0.046064742 0.97083336
523 0.064348295 0.96992755
524 0.031832736 0.9701389
525 0.13270703 0.9676667
526 0.039909676 0.96794873
527 0.028459212 0.96820986
528 0.019360283 0.96875
529 0.080688044 0.96752876
530 0.04247639 0.96805555
531 0.08389114 0.96693546
532 0.03131528 0.9671875
533 0.019712362 0.9679293
534 0.04230147 0.96789217
535 0.06638818 0.96761906
536 0.029623836 0.96828705
537 0.029810399 0.9684685
538 0.058991607 0.96842104
539 0.013669405 0.9690171
540 0.03017664 0.9689583
541 0.0645471 0.9684959
542 0.020674592 0.9688492
543 0.04753629 0.96879846
544 0.03747003 0.9691288
545 0.02951949 0.96962965
546 0.021351097 0.96992755
547 0.052896447 0.96968085
548 0.077942066 0.9692708
549 0.022670977 0.9695578
550 0.04879074 0.9695
551 0.041503508 0.96960783
552 0.012235592 0.97003204
553 0.051508952 0.96996856
554 0.035203613 0.9700617
555 0.08481266 0.9698485
556 0.06227343 0.9696429
557 0.009082646 0.97017545
558 0.0664494 0.9698276
559 0.02368173 0.97019774
560 0.038909007 0.9701389
561 0.04111864 0.9702186
562 0.044050146 0.9701613
563 0.044691253 0.9702381
564 0.02541565 0.9705729
565 0.053991232 0.970641
566 0.04345145 0.97070706
567 0.067601256 0.9705224
568 0.04533933 0.9705882
569 0.037895422 0.97065216
570 0.02151536 0.97083336
571 0.023707211 0.97112674
572 0.059237752 0.9710648
573 0.027773121 0.9712329
574 0.0114249475 0.971509
575 0.05773299 0.9714444
576 0.05721419 0.97116226
577 0.06536431 0.97099566
578 0.055193298 0.9709402
579 0.044739738 0.97088605
580 0.011095258 0.9711458
581 0.045017846 0.97119343
582 0.05857377 0.9710366
583 0.06635674 0.97088355
584 0.037655827 0.97093254
585 0.07470796 0.97068626
586 0.048154652 0.97073644
587 0.05476033 0.97068965
588 0.04050497 0.97064394
589 0.048401702 0.97059923
590 0.032013904 0.97074074
591 0.06811857 0.9705128
592 0.033855267 0.9705616
593 0.059370365 0.9703405
594 0.039273627 0.9703901
595 0.027051568 0.97052634
596 0.05248416 0.9705729
597 0.060608573 0.97053266
598 0.03444592 0.97057825
599 0.045084443 0.97053874
600 0.08492511 0.97033334
601 0.062985316 0.97037953
602 0.049622085 0.97026145
603 0.04233992 0.97030747
604 0.04330597 0.9702724
605 0.035162948 0.9703175
606 0.044367276 0.97036165
607 0.023528721 0.9704829
608 0.055583958 0.97044754
609 0.046584677 0.9704893
610 0.02706436 0.9706061
611 0.043427106 0.97064567
612 0.048093714 0.9705357
613 0.032776345 0.97064894
614 0.07579793 0.97054094
615 0.05236536 0.9704348
616 0.06407585 0.9704023
617 0.04013271 0.9704416
618 0.0492943 0.9704802
619 0.09556197 0.970098
620 0.051128365 0.97006947
621 0.07238538 0.96997243
622 0.054592893 0.9699454
623 0.04348501 0.9699187
624 0.06531421 0.96982527
625 0.047556683 0.9698667
626 0.029766424 0.97003967
627 0.042439293 0.97001314
628 0.05574093 0.9699219
629 0.015467802 0.97002584
630 0.024068914 0.9701282
631 0.011662606 0.9702926
632 0.033393208 0.9703914
633 0.031110676 0.9704887
634 0.056435704 0.9704602
635 0.065544985 0.97030866
636 0.06113527 0.97022057
637 0.027416857 0.9703163
638 0.02622447 0.97041065
639 0.04703671 0.9703837
640 0.023915919 0.9705357
641 0.038527362 0.9705083
642 0.050203823 0.9704225
643 0.06765986 0.97022146
644 0.029578276 0.9702546
645 0.048256174 0.9702874
646 0.08082134 0.97009134
647 0.0469387 0.9701247
648 0.0926377 0.96998876
649 0.035376534 0.9700224
650 0.028900066 0.97011113
651 0.02155243 0.9702539
652 0.06957106 0.9701206
653 0.049001772 0.9700436
654 0.061028898 0.96996754
655 0.030873716 0.9700538
656 0.04628908 0.97003204
657 0.028802129 0.97016984
658 0.01544916 0.97025317
659 0.03233857 0.9703354
660 0.053648774 0.9703646
661 0.036311164 0.97039336
662 0.062119767 0.97037035
663 0.022633465 0.9704499
664 0.070596896 0.97032523
665 0.018835021 0.9704546
666 0.06323772 0.9703815
667 0.026030365 0.9704591
668 0.039347958 0.9704365
